Domain Code,Domain,Area Code,Area,Item Code (CPC),Item(M49),Flag,Flag Description,Unit,2015,2016,2017,2018,2019,2020,2021,Element,Element Code
TCL,Crops and livestock products,196,Cyprus,F2074,Poultry Meat ,A,Official figure ,1000 US$,38464.74,40480.85,41849.29,46648.87,46048.09,37122.27,47397.14,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1719,Roots and Tubers ,A,Official figure ,1000 US$,15447.02,17253.57,17781.29,19524.54,19654.04,14042.37,19648.87,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1734,Vegetables ,A,Official figure ,1000 US$,33990.33,35496.03,37842.01,44820.99,48075.63,48173.32,56196.43,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F2071,Bovine Meat ,A,Official figure ,1000 US$,49902.7,61292.34,59812.58,72865.05,70369.4,71312.01,73532.36,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1944,Cereals ,A,Official figure ,1000 US$,688565.33,669290.55,680494.06,576160.9,508498.35,699310.29,882359.93,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1887,Dairy Products ,A,Official figure ,1000 US$,721846.71,672251.51,807893.63,869247.07,821986.8,853694.87,968353.92,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1782,Eggs ,A,Official figure ,1000 US$,50399.66,43224.28,50528.3,50291.49,54120.43,56298.44,68049.26,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,503757.33,534145.29,617634.32,728554.39,742522.65,891311.47,1017995.79,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1802,Fruit ,A,Official figure ,1000 US$,223847.11,228948.94,226827.21,229854.37,210533.62,226620.99,235447.54,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1773,Nuts ,A,Official figure ,1000 US$,49556.41,45057.56,44319.42,43024.11,43217.44,56371.33,80230.97,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,168629.66,179676.58,177426.71,161752.63,165669.84,177913.69,172770.79,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F2074,Poultry Meat ,A,Official figure ,1000 US$,111908.7,110776.46,86362.96,88317.91,67980.68,63348.91,80579.29,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1719,Roots and Tubers ,A,Official figure ,1000 US$,19204.04,22217.5,22278.64,21400,22424.7,20202.85,20881.49,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F1734,Vegetables ,A,Official figure ,1000 US$,152065.81,161120.05,157579.89,163170.52,167116.39,181442.94,222264.26,Export Value,5922
TCL,Crops and livestock products,203,Czechia,F2071,Bovine Meat ,A,Official figure ,1000 US$,146903.55,174146.36,210471.89,244789.59,238645.43,205266.3,251333.05,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1944,Cereals ,A,Official figure ,1000 US$,147148.24,145247.35,148315.24,177591.44,187563.47,188872.45,208983.84,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1887,Dairy Products ,A,Official figure ,1000 US$,536665.99,542215.32,629365.56,673675.76,657343.29,668778.53,782031.52,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1782,Eggs ,A,Official figure ,1000 US$,67687.32,59802.26,66462.68,64353.97,59984.4,59242.23,73452.66,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,565149.77,521983.34,593567.02,652319.51,654843.02,733911.38,847912.36,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1802,Fruit ,A,Official figure ,1000 US$,738448.48,794053.75,868272.9,926882.8,869715.67,963289.33,1023643.46,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1773,Nuts ,A,Official figure ,1000 US$,141877.07,137110.64,154054.18,146170.44,148756.74,176845.57,205090.54,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,644628.11,667691.99,770638.5,788166.65,846706.24,840772.95,811258.59,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F2074,Poultry Meat ,A,Official figure ,1000 US$,328319.11,306660.42,303408.54,352479.95,307549.89,296079.35,340447.12,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1719,Roots and Tubers ,A,Official figure ,1000 US$,78753.65,95973.24,95685.39,95345.82,129811.39,104250.41,101580.89,Import Value,5622
TCL,Crops and livestock products,203,Czechia,F1734,Vegetables ,A,Official figure ,1000 US$,606106.54,635741.52,678397.91,729207.21,735096.83,775788.53,855817.81,Import Value,5622
TCL,Crops and livestock products,208,Denmark,F2071,Bovine Meat ,A,Official figure ,1000 US$,372175.54,381912.23,416892.49,458707.23,398576.67,381762.19,466873.34,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1944,Cereals ,A,Official figure ,1000 US$,483756.15,332540.29,412284.7,312415.48,291937.94,375154.79,422004.19,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1887,Dairy Products ,A,Official figure ,1000 US$,2223185.33,2286568.1,2685511.47,2811987.71,2602682.43,2520879.55,2694899.2,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1782,Eggs ,A,Official figure ,1000 US$,41371.8,36596.66,53631.91,60512.38,54327.33,55233.07,62665.31,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,655349.65,651945.8,702558.38,779714.65,696490.18,735262.05,854189.66,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1802,Fruit ,A,Official figure ,1000 US$,259374.12,267876.32,269964.28,291561.08,273341.35,270500.13,277932.88,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1773,Nuts ,A,Official figure ,1000 US$,27878.97,29994.07,38510.02,33340.87,30840.34,27332.41,30065.93,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,2865149.31,2930797.79,3024116.59,2936948.76,3053638.12,3443543.73,3444236.42,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F2074,Poultry Meat ,A,Official figure ,1000 US$,347204.25,337767.55,373413.14,401496.33,411503.4,386314.1,403105.34,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1719,Roots and Tubers ,A,Official figure ,1000 US$,96518.34,97834.08,98155.2,115990.94,118178.89,107301.12,108853.46,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F1734,Vegetables ,A,Official figure ,1000 US$,147027.63,143471.49,147018.67,161173.27,153903.41,163992.62,165203.25,Export Value,5922
TCL,Crops and livestock products,208,Denmark,F2071,Bovine Meat ,A,Official figure ,1000 US$,603012.88,573132.59,592806.58,610455.03,541737.22,536132.42,621683.74,Import Value,5622
TCL,Crops and livestock products,208,Denmark,F1944,Cereals ,A,Official figure ,1000 US$,206438.49,190889.51,204641.83,315890.84,278112.43,199249.53,189000.45,Import Value,5622
TCL,Crops and livestock products,208,Denmark,F1887,Dairy Products ,A,Official figure ,1000 US$,571676.58,550960.06,647182.62,753004.4,746254.25,758674.86,855470.03,Import Value,5622
TCL,Crops and livestock products,208,Denmark,F1782,Eggs ,A,Official figure ,1000 US$,59118.66,58378.07,64321.78,80057.55,73749.91,73040,73736.77,Import Value,5622
TCL,Crops and livestock products,208,Denmark,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,1484900.82,1266317.99,1328704.91,1464765.54,1348058.64,1427565.1,1632901.86,Import Value,5622
TCL,Crops and livestock products,208,Denmark,F1802,Fruit ,A,Official figure ,1000 US$,750789.61,754022.87,798582.94,933013.27,807875.02,868440.1,938743.46,Import Value,5622
TCL,Crops and livestock products,208,Denmark,F1773,Nuts ,A,Official figure ,1000 US$,172573.72,142332.02,139251.46,150792.54,163844.22,172609.27,168055.83,Import Value,5622
